DateTime,NAV,Nifty500_TRI,scheme_code,NAV_normalized,Nft500_TRI_normalized,fund_return,index_return,excess_fund,excess_index,Rolling_beta,Rolling_alpha
2013-05-28,10.0,6623.8,122639,10.0,10.0,0.0,0.0,-0.0002610965422227274,-0.0002610965422227274,,
2013-05-29,10.01,6609.41,122639,10.009999999999998,9.978275310244873,0.0009999999999998899,-0.002172468975512709,0.0007389034577771625,-0.0024335655177354365,,
2013-05-30,10.03,6625.94,122639,10.03,10.003230773876021,0.0019980019980021524,0.002500979663842884,0.001736905455779425,0.0022398831216201565,,
2013-05-31,10.01,6502.47,122639,10.009999999999998,9.816827198888856,-0.001994017946161608,-0.018634337165745363,-0.0022551144883843355,-0.01889543370796809,,
2013-06-03,10.06,6471.69,122639,10.06,9.770358404541199,0.004995004995005159,-0.0047335858527607355,0.0047339084527824316,-0.004994682394983463,,
2013-06-04,10.03,6462.34,122639,10.03,9.756242640176334,-0.0029821073558649047,-0.0014447539977964219,-0.003243203898087632,-0.0017058505400191493,,
2013-06-05,10.03,6467.86,122639,10.03,9.76457622512757,0.0,0.0008541797553207608,-0.0002610965422227274,0.0005930832130980335,,
2013-06-06,10.03,6465.38,122639,10.03,9.760832150729188,0.0,-0.00038343439715771144,-0.0002610965422227274,-0.0006445309393804388,,
2013-06-07,10.02,6420.57,122639,10.02,9.693182161297141,-0.0009970089730807485,-0.006930760450275075,-0.001258105515303476,-0.007191856992497803,,
2013-06-10,9.99,6397.44,122639,9.99,9.658262628702555,-0.0029940119760478723,-0.003602483891617325,-0.0032551085182705997,-0.0038635804338400526,,
2013-06-11,9.95,6293.93,122639,9.95,9.501992813792686,-0.004004004004004136,-0.016179909463785447,-0.004265100546226863,-0.016441006006008174,,
2013-06-12,9.93,6255.65,122639,9.93,9.444201213804764,-0.0020100502512562235,-0.006082050483561141,-0.002271146793478951,-0.0063431470257838685,,
2013-06-13,9.91,6182.9,122639,9.91,9.334369999094175,-0.002014098690835797,-0.011629486943802725,-0.0022751952330585246,-0.011890583486025452,,
2013-06-14,9.95,6292.36,122639,9.95,9.499622573145324,0.004036326942482349,0.01770366656423361,0.0037752304002596215,0.017442570022010884,,
2013-06-17,9.98,6336.52,122639,9.98,9.566291252755217,0.0030150753768845018,0.007018034568905929,0.0027539788346617744,0.006756938026683201,,
